model,target,feature,importance,importance_share
lightgbm_trial_1,Revenue,dayofyear_cos,102.0,0.019129782445611403
lightgbm_trial_1,Revenue,COGS_roll_mean_365,99.0,0.018567141785446363
lightgbm_trial_1,Revenue,dayofweek_sin,96.0,0.01800450112528132
lightgbm_trial_1,Revenue,Revenue_roll_std_7,94.0,0.017629407351837958
lightgbm_trial_1,Revenue,COGS_roll_std_90,91.0,0.017066766691672917
lightgbm_trial_1,Revenue,Revenue_roll_min_7,90.0,0.01687921980495124
lightgbm_trial_1,Revenue,Revenue_roll_mean_7,86.0,0.016129032258064516
lightgbm_trial_1,Revenue,COGS_roll_mean_7,81.0,0.015191297824456114
lightgbm_trial_1,Revenue,COGS_roll_std_30,81.0,0.015191297824456114
lightgbm_trial_1,Revenue,COGS_roll_std_365,81.0,0.015191297824456114
lightgbm_trial_1,Revenue,revenue_expanding_mean,81.0,0.015191297824456114
lightgbm_trial_1,Revenue,dayofweek,78.0,0.014628657164291074
lightgbm_trial_1,Revenue,cogs_expanding_mean,76.0,0.014253563390847712
lightgbm_trial_1,Revenue,Revenue_roll_mean_30,74.0,0.01387846961740435
lightgbm_trial_1,Revenue,Revenue_lag_30,73.0,0.01369092273068267
lightgbm_trial_1,Revenue,dayofyear,70.0,0.01312828207051763
lightgbm_trial_1,Revenue,Revenue_roll_mean_365,62.0,0.011627906976744186
lightgbm_trial_1,Revenue,Revenue_roll_std_365,45.0,0.00843960990247562
lightgbm_trial_1,Revenue,Revenue_roll_std_90,44.0,0.008252063015753939
lightgbm_trial_1,Revenue,Revenue_roll_min_30,42.0,0.007876969242310577
lightgbm_trial_1,Revenue,year,35.0,0.006564141035258815
lightgbm_trial_1,Revenue,weekofyear_sin,34.0,0.006376594148537134
lightgbm_trial_1,Revenue,Revenue_roll_max_7,33.0,0.0061890472618154535
lightgbm_trial_1,Revenue,Revenue_roll_max_30,32.0,0.006001500375093774
lightgbm_trial_1,Revenue,Revenue_roll_std_30,31.0,0.005813953488372093
lightgbm_trial_1,Revenue,COGS_roll_min_30,29.0,0.005438859714928732
lightgbm_trial_1,Revenue,is_quarter_end,28.0,0.005251312828207052
lightgbm_trial_1,Revenue,Revenue_roll_min_90,28.0,0.005251312828207052
lightgbm_trial_1,Revenue,COGS_roll_max_30,28.0,0.005251312828207052
lightgbm_trial_1,Revenue,COGS_roll_mean_30,26.0,0.004876219054763691
lightgbm_trial_1,Revenue,weekofyear,23.0,0.00431357839459865
lightgbm_trial_1,Revenue,COGS_roll_max_7,21.0,0.003938484621155289
lightgbm_trial_1,Revenue,weekofyear_cos,20.0,0.0037509377344336083
lightgbm_trial_1,Revenue,Revenue_roll_mean_90,20.0,0.0037509377344336083
lightgbm_trial_1,Revenue,Revenue_roll_min_365,14.0,0.002625656414103526
lightgbm_trial_1,Revenue,COGS_roll_min_90,14.0,0.002625656414103526
lightgbm_trial_1,Revenue,month_sin,13.0,0.0024381095273818456
lightgbm_trial_1,Revenue,COGS_roll_mean_90,13.0,0.0024381095273818456
lightgbm_trial_1,Revenue,COGS_roll_max_90,12.0,0.002250562640660165
lightgbm_trial_1,Revenue,month_cos,11.0,0.0020630157539384846
lightgbm_trial_1,Revenue,is_month_end,10.0,0.0018754688672168042
lightgbm_trial_1,Revenue,Revenue_roll_max_365,9.0,0.0016879219804951237
lightgbm_trial_1,Revenue,COGS_roll_min_365,5.0,0.0009377344336084021
lightgbm_trial_1,Revenue,Revenue_roll_max_90,4.0,0.0007501875468867217
lightgbm_trial_1,Revenue,COGS_roll_max_365,3.0,0.0005626406601650412
lightgbm_trial_1,Revenue,month,2.0,0.00037509377344336085
lightgbm_trial_1,Revenue,is_month_start,2.0,0.00037509377344336085
lightgbm_trial_1,Revenue,quarter,1.0,0.00018754688672168043
lightgbm_trial_1,Revenue,is_weekend,0.0,0.0
lightgbm_trial_1,Revenue,is_quarter_start,0.0,0.0
lightgbm_trial_1,Revenue,is_year_start,0.0,0.0
lightgbm_trial_1,Revenue,is_year_end,0.0,0.0
lightgbm_trial_2,COGS,dayofmonth,1075.0,0.08150731670331336
lightgbm_trial_2,COGS,COGS_lag_365,689.0,0.052240503449844565
lightgbm_trial_2,COGS,COGS_lag_1,671.0,0.05087572977481234
lightgbm_trial_2,COGS,COGS_lag_7,572.0,0.043369474562135114
lightgbm_trial_2,COGS,COGS_lag_30,512.0,0.03882022897869437
lightgbm_trial_2,COGS,Revenue_lag_365,463.0,0.03510501175221776
lightgbm_trial_2,COGS,Revenue_lag_1,425.0,0.03222382288270528
lightgbm_trial_2,COGS,COGS_lag_14,396.0,0.030025020850708923
lightgbm_trial_2,COGS,Revenue_lag_7,377.0,0.02858442641595269
lightgbm_trial_2,COGS,Revenue_lag_14,351.0,0.026613086663128366
lightgbm_trial_2,COGS,COGS_roll_min_7,351.0,0.026613086663128366
lightgbm_trial_2,COGS,gross_margin_lag_1,335.0,0.025399954507544165
