model_group,target,feature,importance
residual_lgbm,Revenue,rolling_30_yoy_growth,192.0
residual_lgbm,Revenue,yoy_lag_364_growth,163.0
residual_lgbm,Revenue,yoy_lag_365_growth,160.0
residual_lgbm,Revenue,cos_7_1,132.0
residual_lgbm,Revenue,cos_365_25_3,128.0
residual_lgbm,Revenue,days_to_back_to_school,121.0
residual_lgbm,Revenue,sin_30_5_1,120.0
residual_lgbm,Revenue,sin_30_5_3,95.0
residual_lgbm,Revenue,cos_30_5_3,91.0
residual_lgbm,Revenue,days_to_11_11,88.0
residual_lgbm,Revenue,cos_365_25_1,82.0
residual_lgbm,Revenue,sin_7_1,81.0
residual_lgbm,Revenue,sin_30_5_2,80.0
residual_lgbm,Revenue,sin_365_25_2,80.0
residual_lgbm,Revenue,days_to_12_12,77.0
residual_lgbm,Revenue,days_to_valentine,72.0
residual_lgbm,Revenue,sin_365_25_1,70.0
residual_lgbm,Revenue,sin_7_2,66.0
residual_lgbm,Revenue,days_to_10_10,61.0
residual_lgbm,Revenue,cos_365_25_2,60.0
residual_lgbm,Revenue,days_to_christmas_year_end,59.0
residual_lgbm,Revenue,cos_30_5_1,54.0
residual_lgbm,Revenue,sin_365_25_3,53.0
residual_lgbm,Revenue,cos_30_5_2,52.0
residual_lgbm,Revenue,days_to_tet_like,52.0
residual_lgbm,Revenue,days_to_new_year,47.0
residual_lgbm,Revenue,sin_7_3,39.0
residual_lgbm,Revenue,cos_7_3,35.0
residual_lgbm,Revenue,days_to_womens_day,32.0
residual_lgbm,Revenue,days_to_mid_year_sale,19.0
residual_lgbm,Revenue,cos_7_2,15.0
residual_lgbm,Revenue,days_to_9_9,12.0
residual_lgbm,Revenue,dayofweek,6.0
residual_lgbm,Revenue,weekofyear,6.0
residual_lgbm,Revenue,is_month_start,4.0
residual_lgbm,Revenue,event_payday,3.0
residual_lgbm,Revenue,month,1.0
residual_lgbm,Revenue,is_month_end,1.0
residual_lgbm,Revenue,event_back_to_school,1.0
residual_lgbm,Revenue,is_weekend,0.0
residual_lgbm,Revenue,is_quarter_start,0.0
residual_lgbm,Revenue,is_quarter_end,0.0
residual_lgbm,Revenue,event_new_year,0.0
residual_lgbm,Revenue,event_tet_like,0.0
residual_lgbm,Revenue,event_valentine,0.0
residual_lgbm,Revenue,event_womens_day,0.0
residual_lgbm,Revenue,event_mid_year_sale,0.0
residual_lgbm,Revenue,event_9_9,0.0
residual_lgbm,Revenue,event_10_10,0.0
residual_lgbm,Revenue,event_11_11,0.0
residual_lgbm,Revenue,event_12_12,0.0
residual_lgbm,Revenue,event_christmas_year_end,0.0
residual_xgb,COGS,rolling_30_yoy_growth,0.10003770142793655
residual_xgb,COGS,days_to_12_12,0.05923617631196976
residual_xgb,COGS,cos_30_5_1,0.05059599131345749
residual_xgb,COGS,sin_30_5_1,0.049824681133031845
residual_xgb,COGS,days_to_11_11,0.03695167973637581
residual_xgb,COGS,is_month_start,0.036734506487846375
residual_xgb,COGS,days_from_start,0.03456222638487816
residual_xgb,COGS,dayofmonth,0.03216470405459404
residual_xgb,COGS,days_to_back_to_school,0.026792939752340317
residual_xgb,COGS,baseline_prediction,0.02605033852159977
residual_xgb,COGS,sin_365_25_1,0.02600327879190445
residual_xgb,COGS,days_to_womens_day,0.025276372209191322
residual_xgb,COGS,cos_365_25_3,0.024882376194000244
residual_xgb,COGS,days_to_valentine,0.024584464728832245
residual_xgb,COGS,cos_30_5_3,0.02360367961227894
residual_xgb,COGS,cos_30_5_2,0.023184461519122124
residual_xgb,COGS,yoy_lag_365_growth,0.022360844537615776
